Time     	Unsubtracted	Baseline     	Program     	Sample     	Approx.     	Heat Flow
1,5	-31,510234	0	180,000000	136,840271	0	1,480999
1,516667	-31,442088	0	180,000000	138,477585	0	1,480999
1,533333	-31,320339	0	180,000000	140,117691	0	1,480999
1,55	-31,139695	0	180,000000	141,752319	0	1,480999
1,566667	-30,947257	0	180,000000	143,400345	0	1,480999
1,583333	-30,727557	0	180,000000	145,030212	0	1,480999
1,6	-30,533989	0	180,000000	146,675522	0	1,480999
1,616667	-30,338092	0	180,000000	148,297073	0	1,480999
1,633333	-30,189862	0	180,000000	149,929245	0	1,480999
1,65	-30,068041	0	180,000000	151,527084	0	1,480999
1,666667	-29,99813	0	180,000000	153,115433	0	1,480999
1,683333	-29,963243	0	180,000000	154,662735	0	1,480999
1,7	-29,958016	0	180,000000	156,173584	0	1,480999
1,716667	-29,972213	0	180,000000	157,646744	0	1,480999
1,733333	-29,993962	0	180,000000	159,065079	0	1,480999
1,75	-30,010982	0	180,000000	160,449722	0	1,480999
1,766667	-30,016562	0	180,000000	161,773849	0	1,480999
1,783333	-29,996152	0	180,000000	163,059769	0	1,480999
1,8	-29,934147	0	180,000000	164,277267	0	1,480999
1,816667	-29,837751	0	180,000000	165,450073	0	1,480999
1,833333	-29,68126	0	180,000000	166,555679	0	1,480999
1,85	-29,485644	0	180,000000	167,611969	0	1,480999
1,866667	-29,23219	0	180,000000	168,610321	0	1,480999
1,883333	-28,884176	0	180,000000	169,551956	0	1,480999
1,9	-28,503325	0	180,000000	170,445496	0	1,480999
1,916667	-28,014566	0	180,000000	171,275253	0	1,480999
1,933333	-27,506459	0	180,000000	172,064621	0	1,480999
1,95	-26,882536	0	180,000000	172,795731	0	1,480999
1,966667	-26,258613	0	180,000000	173,488007	0	1,480999
1,983333	-25,514	0	180,000000	174,125732	0	1,480999
2	-24,787323	0	180,000000	174,727692	0	1,480999
2,016667	-24,019759	0	180,000000	175,281265	0	1,480999
2,033333	-23,132072	0	180,000000	175,796326	0	1,480999
2,05	-22,292052	0	180,000000	176,274078	0	1,480999
2,066667	-21,336923	0	180,000000	176,712982	0	1,480999
2,083333	-20,443798	0	180,000000	177,121078	0	1,480999
2,1	-19,440364	0	180,000000	177,492493	0	1,480999
2,116667	-18,516307	0	180,000000	177,839249	0	1,480999
2,133333	-17,490628	0	180,000000	178,151794	0	1,480999
2,15	-16,553225	0	180,000000	178,44429	0	1,480999
2,166667	-15,521402	0	180,000000	178,70845	0	1,480999
2,183333	-14,588023	0	180,000000	178,95256	0	1,480999
2,2	-13,661918	0	180,000000	179,17511	0	1,480999
2,216667	-12,653966	0	180,000000	179,376678	0	1,480999
2,233333	-11,752013	0	180,000000	179,560699	0	1,480999
2,25	-10,776969	0	180,000000	179,725281	0	1,480999
2,266667	-9,909972	0	180,000000	179,876312	0	1,480999
2,283333	-8,977512	0	180,000000	180,011627	0	1,480999
2,3	-8,152392	0	180,000000	180,135544	0	1,480999
2,316667	-7,271343	0	180,000000	180,244034	0	1,480999
2,333333	-6,495092	0	180,000000	180,343979	0	1,480999
2,35	-5,671104	0	180,000000	180,432358	0	1,480999
2,366667	-4,947324	0	180,000000	180,510513	0	1,480999
2,383333	-4,249814	0	180,000000	180,583084	0	1,480999
2,4	-3,512052	0	180,000000	180,649445	0	1,480999
2,416667	-2,87012	0	180,000000	180,707748	0	1,480999
2,433333	-2,19309	0	180,000000	180,762024	0	1,480999
2,45	-1,605606	0	180,000000	180,810089	0	1,480999
2,466667	-0,989309	0	180,000000	180,850403	0	1,480999
2,483333	-0,455779	0	180,000000	180,887619	0	1,480999
2,5	0,103881	0	180,000000	180,922653	0	1,480999
2,516667	0,586001	0	180,000000	180,951508	0	1,480999
2,533333	1,043616	0	180,000000	180,976624	0	1,480999
2,55	1,520792	0	180,000000	181,000809	0	1,480999
2,566667	1,931162	0	180,000000	181,021591	0	1,480999
2,583333	2,358905	0	180,000000	181,037399	0	1,480999
2,6	2,725915	0	180,000000	181,053833	0	1,480999
2,616667	3,105848	0	180,000000	181,070587	0	1,480999
2,633333	3,431404	0	180,000000	181,083618	0	1,480999
2,65	3,76826	0	180,000000	181,096954	0	1,480999
2,666667	4,056458	0	180,000000	181,111526	0	1,480999
2,683333	4,355108	0	180,000000	181,122375	0	1,480999
2,7	4,608844	0	180,000000	181,133224	0	1,480999
2,716667	4,84888	0	180,000000	181,144394	0	1,480999
2,733333	5,095978	0	180,000000	181,153702	0	1,480999
2,75	5,307837	0	180,000000	181,162384	0	1,480999
2,766667	5,525274	0	180,000000	181,171371	0	1,480999
2,783333	5,710792	0	180,000000	181,179443	0	1,480999
2,8	5,901889	0	180,000000	181,187805	0	1,480999
2,816667	6,064737	0	180,000000	181,196182	0	1,480999
2,833333	6,232953	0	180,000000	181,202698	0	1,480999
2,85	6,376946	0	180,000000	181,210449	0	1,480999
2,866667	6,513383	0	180,000000	181,218201	0	1,480999
2,883333	6,653704	0	180,000000	181,226578	0	1,480999
2,9	6,771286	0	180,000000	181,234329	0	1,480999
2,916667	6,895717	0	180,000000	181,243637	0	1,480999
2,933333	7,001364	0	180,000000	181,25293	0	1,480999
2,95	7,111177	0	180,000000	181,262238	0	1,480999
2,966667	7,204254	0	180,000000	181,270615	0	1,480999
2,983333	7,301285	0	180,000000	181,279297	0	1,480999
