Time     	Unsubtracted	Baseline     	Program     	Sample     	Approx.     	Heat Flow
0,9	-16,135298	0	120	78,547035	0	1,480999
0,916667	-16,738107	0	120	80,136856	0	1,480999
0,933333	-17,383357	0	120	81,717567	0	1,480999
0,95	-17,95481	0	120	83,319916	0	1,480999
0,966667	-18,513412	0	120	84,930069	0	1,480999
0,983333	-19,116856	0	120	86,538719	0	1,480999
1	-19,665216	0	120	88,164604	0	1,480999
1,016667	-20,281867	0	120	89,771469	0	1,480999
1,033333	-20,865255	0	120	91,386658	0	1,480999
1,05	-21,538047	0	120	92,970955	0	1,480999
1,066667	-22,175388	0	120	94,551987	0	1,480999
1,083333	-22,901428	0	120	96,085197	0	1,480999
1,1	-23,574645	0	120	97,598511	0	1,480999
1,116667	-24,3194	0	120	99,061523	0	1,480999
1,133333	-24,987814	0	120	100,486366	0	1,480999
1,15	-25,634828	0	120	101,865868	0	1,480999
1,166667	-26,307621	0	120	103,188454	0	1,480999
1,183333	-26,874133	0	120	104,466995	0	1,480999
1,2	-27,434286	0	120	105,683334	0	1,480999
1,216667	-27,878201	0	120	106,863701	0	1,480999
1,233333	-28,287512	0	120	107,980553	0	1,480999
1,25	-28,586162	0	120	109,057365	0	1,480999
1,266667	-28,828245	0	120	110,071404	0	1,480999
1,283333	-28,970473	0	120	111,04361	0	1,480999
1,3	-29,038269	0	120	111,963516	0	1,480999
1,316667	-29,0305	0	120	112,834702	0	1,480999
1,333333	-28,949146	0	120	113,664948	0	1,480999
1,35	-28,782201	0	120	114,446472	0	1,480999
1,366667	-28,56222	0	120	115,193336	0	1,480999
1,383333	-28,250294	0	120	115,890587	0	1,480999
1,4	-27,906661	0	120	116,557945	0	1,480999
1,416667	-27,467617	0	120	117,179886	0	1,480999
1,433333	-27,016219	0	120	117,771034	0	1,480999
1,45	-26,46835	0	120	118,324272	0	1,480999
1,466667	-25,926064	0	120	118,847504	0	1,480999
1,483333	-25,346418	0	120	119,338562	0	1,480999
1,5	-24,66847	0	120	119,795341	0	1,480999
1,516667	-24,021878	0	120	120,225952	0	1,480999
1,533333	-23,279879	0	120	120,625298	0	1,480999
1,55	-22,580322	0	120	121,000282	0	1,480999
1,566667	-21,788817	0	120	121,345192	0	1,480999
1,583333	-21,053244	0	120	121,66996	0	1,480999
1,6	-20,228761	0	120	121,967064	0	1,480999
1,616667	-19,469035	0	120	122,245216	0	1,480999
1,633333	-18,704156	0	120	122,500816	0	1,480999
1,65	-17,861311	0	120	122,735374	0	1,480999
1,666667	-17,096077	0	120	122,950684	0	1,480999
1,683333	-16,261072	0	120	123,147346	0	1,480999
1,7	-15,509397	0	120	123,323563	0	1,480999
1,716667	-14,693741	0	120	123,482635	0	1,480999
1,733333	-13,966853	0	120	123,625771	0	1,480999
1,75	-13,184319	0	120	123,750267	0	1,480999
1,766667	-12,492247	0	120	123,860626	0	1,480999
1,783333	-11,752436	0	120	123,955948	0	1,480999
1,8	-11,100971	0	120	124,036842	0	1,480999
1,816667	-10,468573	0	120	124,1045	0	1,480999
1,833333	-9,798605	0	120	124,159233	0	1,480999
1,85	-9,210767	0	120	124,199226	0	1,480999
1,866667	-8,588821	0	120	124,226891	0	1,480999
1,883333	-8,045404	0	120	124,244026	0	1,480999
1,9	-7,469077	0	120	124,250343	0	1,480999
1,916667	-6,965136	0	120	124,247635	0	1,480999
1,933333	-6,430123	0	120	124,235909	0	1,480999
1,95	-5,95909	0	120	124,218773	0	1,480999
1,966667	-5,505783	0	120	124,193207	0	1,480999
1,983333	-5,025076	0	120	124,16404	0	1,480999
2	-4,604819	0	120	124,127357	0	1,480999
2,016667	-4,162529	0	120	124,088867	0	1,480999
2,033333	-3,776734	0	120	124,045563	0	1,480999
2,05	-3,372366	0	120	124,001053	0	1,480999
2,066667	-3,021458	0	120	123,952942	0	1,480999
2,083333	-2,656143	0	120	123,905731	0	1,480999
2,1	-2,342663	0	120	123,85762	0	1,480999
2,116667	-2,017177	0	120	123,809502	0	1,480999
2,133333	-1,740631	0	120	123,762291	0	1,480999
2,15	-1,480257	0	120	123,716888	0	1,480999
2,166667	-1,215574	0	120	123,674187	0	1,480999
2,183333	-0,991781	0	120	123,632385	0	1,480999
2,2	-0,764033	0	120	123,593292	0	1,480999
2,216667	-0,573996	0	120	123,553902	0	1,480999
2,233333	-0,382334	0	120	123,514809	0	1,480999
2,25	-0,225276	0	120	123,476921	0	1,480999
2,266667	-0,067795	0	120	123,440834	0	1,480999
2,283333	0,060521	0	120	123,407158	0	1,480999
2,3	0,174783	0	120	123,37558	0	1,480999
2,316667	0,288693	0	120	123,347313	0	1,480999
2,333333	0,377885	0	120	123,319649	0	1,480999
2,35	0,46616	0	120	123,294388	0	1,480999
2,366667	0,534096	0	120	123,26973	0	1,480999
2,383333	0,598995	0	120	123,24868	0	1,480999
2,4	0,648358	0	120	123,228233	0	1,480999
2,416667	0,693131	0	120	123,210495	0	1,480999
2,433333	0,726958	0	120	123,193954	0	1,480999
2,45	0,756053	0	120	123,179222	0	1,480999
2,466667	0,776886	0	120	123,166588	0	1,480999
2,483333	0,790515	0	120	123,154259	0	1,480999
2,5	0,80012	0	120	123,143738	0	1,480999
2,516667	0,803015	0	120	123,136215	0	1,480999
2,533333	0,803509	0	120	123,129906	0	1,480999
2,55	0,80019	0	120	123,123589	0	1,480999
2,566667	0,792987	0	120	123,11998	0	1,480999
2,583333	0,782606	0	120	123,118774	0	1,480999
2,6	0,76827	0	120	123,116074	0	1,480999
2,616667	0,753369	0	120	123,115471	0	1,480999
2,633333	0,736421	0	120	123,113365	0	1,480999
2,65	0,718625	0	120	123,112762	0	1,480999
2,666667	0,699981	0	120	123,110954	0	1,480999
2,683333	0,678936	0	120	123,111557	0	1,480999
2,7	0,658669	0	120	123,11216	0	1,480999
2,716667	0,635223	0	120	123,114563	0	1,480999
2,733333	0,614602	0	120	123,116074	0	1,480999
2,75	0,592922	0	120	123,118477	0	1,480999
2,766667	0,57336	0	120	123,121483	0	1,480999
2,783333	0,55055	0	120	123,125092	0	1,480999
2,8	0,532118	0	120	123,129601	0	1,480999
2,816667	0,512839	0	120	123,135017	0	1,480999
2,833333	0,491795	0	120	123,139221	0	1,480999
2,85	0,473998	0	120	123,14283	0	1,480999
2,866667	0,454578	0	120	123,145844	0	1,480999
2,883333	0,437488	0	120	123,148849	0	1,480999
2,9	0,420539	0	120	123,151855	0	1,480999
2,916667	0,405427	0	120	123,155159	0	1,480999
2,933333	0,390667	0	120	123,158768	0	1,480999
2,95	0,377038	0	120	123,162979	0	1,480999
2,966667	0,363408	0	120	123,168694	0	1,480999
2,983333	0,350767	0	120	123,173203	0	1,480999
3	0,339963	0	120	123,178314	0	1,480999
3,016667	0,328663	0	120	123,183426	0	1,480999
3,033333	0,318706	0	120	123,187943	0	1,480999
3,05	0,309243	0	120	123,191551	0	1,480999
3,066667	0,302181	0	120	123,194855	0	1,480999
3,083333	0,293848	0	120	123,199066	0	1,480999
3,1	0,286786	0	120	123,20237	0	1,480999
3,116667	0,281066	0	120	123,206284	0	1,480999
3,133333	0,275134	0	120	123,209587	0	1,480999
3,15	0,27012	0	120	123,214699	0	1,480999
3,166667	0,263764	0	120	123,219513	0	1,480999
3,183333	0,25988	0	120	123,224022	0	1,480999
3,2	0,255643	0	120	123,227028	0	1,480999
3,216667	0,252112	0	120	123,230339	0	1,480999
3,233333	0,248087	0	120	123,23365	0	1,480999
3,25	0,244909	0	120	123,235748	0	1,480999
3,266667	0,241025	0	120	123,239357	0	1,480999
3,283333	0,238341	0	120	123,243874	0	1,480999
3,3	0,235234	0	120	123,247177	0	1,480999
3,316667	0,233609	0	120	123,250786	0	1,480999
3,333333	0,231844	0	120	123,255295	0	1,480999
3,35	0,231703	0	120	123,258308	0	1,480999
3,366667	0,23022	0	120	123,261612	0	1,480999
3,383333	0,228031	0	120	123,265823	0	1,480999
3,4	0,228031	0	120	123,268227	0	1,480999
3,416667	0,227748	0	120	123,26973	0	1,480999
3,433333	0,228101	0	120	123,273941	0	1,480999
3,45	0,227536	0	120	123,275749	0	1,480999
3,466667	0,228101	0	120	123,279358	0	1,480999
3,483333	0,228242	0	120	123,282059	0	1,480999
3,5	0,228242	0	120	123,286873	0	1,480999
3,516667	0,228807	0	120	123,28717	0	1,480999
3,533333	0,228101	0	120	123,289276	0	1,480999
3,55	0,228878	0	120	123,291687	0	1,480999
3,566667	0,230643	0	120	123,296494	0	1,480999
3,583333	0,230573	0	120	123,297997	0	1,480999
3,6	0,230926	0	120	123,30191	0	1,480999
3,616667	0,231915	0	120	123,306114	0	1,480999
3,633333	0,231844	0	120	123,30732	0	1,480999
3,65	0,233892	0	120	123,308823	0	1,480999
3,666667	0,234457	0	120	123,312431	0	1,480999
3,683333	0,234669	0	120	123,316345	0	1,480999
3,7	0,235375	0	120	123,318146	0	1,480999
3,716667	0,235375	0	120	123,320854	0	1,480999
3,733333	0,236717	0	120	123,322655	0	1,480999
3,75	0,238412	0	120	123,32296	0	1,480999
3,766667	0,238482	0	120	123,323257	0	1,480999
3,783333	0,239471	0	120	123,325966	0	1,480999
3,8	0,241095	0	120	123,328072	0	1,480999
3,816667	0,242013	0	120	123,328972	0	1,480999
3,833333	0,241943	0	120	123,331375	0	1,480999
3,85	0,242578	0	120	123,332878	0	1,480999
3,866667	0,243214	0	120	123,335289	0	1,480999
3,883333	0,243637	0	120	123,338593	0	1,480999
3,9	0,243496	0	120	123,341003	0	1,480999
3,916667	0,243991	0	120	123,343407	0	1,480999
3,933333	0,244838	0	120	123,345512	0	1,480999
3,95	0,24512	0	120	123,347015	0	1,480999
3,966667	0,245191	0	120	123,348816	0	1,480999
3,983333	0,245756	0	120	123,35183	0	1,480999
4	0,246815	0	120	123,35273	0	1,480999
4,016667	0,24738	0	120	123,354836	0	1,480999
4,033333	0,248087	0	120	123,356033	0	1,480999
4,05	0,247451	0	120	123,356941	0	1,480999
4,066667	0,247168	0	120	123,358444	0	1,480999
4,083333	0,24731	0	120	123,362648	0	1,480999
4,1	0,24738	0	120	123,365959	0	1,480999
4,116667	0,24731	0	120	123,368065	0	1,480999
